species
Eluma caelata
Epitonium clathratulum
Ligustrum sinense
Wesmaelius nervosus
Dolichopus plumipes
Veronica triloba
Arthaldeus striifrons
Asplenium septentrionale
Melecta luctuosa
Limnephilus hirsutus
Potamogeton coloratus
Notus flavipennis
Fraxinus americana
Campanula poscharskyana
Potamocorbula amurensis
Teucrium hircanicum
Ranunculus peltatus
Tinodes waeneri
Monodontomerus aeneus
Reseda odorata
Trifolium suffocatum
Phalacrocorax carbo
Pycnonotus jocosus
Dasypoda hirtipes
Petrorhagia saxifraga
Echinocystis lobata
Tropaeolum majus
Pontastacus leptodactylus
Hieracium laevigatum
Rhaponticum repens
Achillea collina
Camelina microcarpa
Ectemnius borealis
Helleborus viridis
Nimbus contaminatus
Arge rustica
Hylaeus incongruus
Eurydema dominulus
Anacyclus clavatus
Arenaria serpyllifolia
Tetramorium impurum
Sagina procumbens
Sigara limitata
Cardamine amara
Astrantia major
Sepsis fulgens
Lasioglossum brevicorne
Rubus ignoratus
Nysius thymi
Triticum turgidum
Spiraea douglasii
Speudotettix subfusculus
Cordylophora caspia
Neogobius melanostomus
Circus macrourus x pygargus
Conostethus roseus
Thrips major
Nettapus auritus
Geronticus eremita
Pseudodineura fuscula
Petrorhagia prolifera
Cornus sericea
Asphodelus tenuifolius
Athalia scutellariae
Chrysopa pallens
Triticum monococcum
Myriophyllum heterophyllum
Ranunculus tripartitus
Aphis cytisorum
Cobitis taenia
Spergularia rubra
Scleranthus polycarpos
Verbena hastata
Drosera intermedia
Ectopsocus petersi
Sympetrum vulgatum
Ribes sanguineum
Ilex altaclerensis
Veronica praecox
Rosa arvensis
Rumex scutatus
Ossiannilssonola callosa
Mya truncata
Hoplodrina blanda
Rattus rattus
Euodynerus quadrifasciatus
Listrodromus nycthemerus
Formica cunicularia
Ichneumon inquinatus
Chelidonichthys lucerna
Grindelia squarrosa
Ruppia maritima
Capsodes flavomarginatus
Agrostis gigantea
Dolichomitus quercicolus
Castanea sativa
Oryctolagus cuniculus
Dahlia coccinea
Atriplex glabriuscula
Rhyparochromus vulgaris
Carex elytroides
Nasonia vitripennis
Passerina caerulea
Gilia tricolor
Galium palustre
Myrmeleotettix maculatus
Coronilla varia
Limnephilus rhombicus
Frangula alnus
Corispermum pallasii
Pachyprotasis antennata
Lindbergina aurovittata
Sicyos angulatus
Carduus nutans
Verbena hybrida
Pilularia globulifera
Silene hampeana
Primula acaulis
Ophioglossum vulgatum
Comarmondia gracilis
Carex pulicaris
Clinopodium acinos
Armeria maritima
Vulpia geniculata
Medicago orbicularis
Nitela borealis
Aphis frangulae
Dyroderes umbraculatus
Spatangus prunella
Megachile versicolor
Quercus suber
Rubus campaniensis
Salix myrsinifolia
Alebra viridis
Andrena trimmerana
Trichiosoma sorbi
Zantedeschia aethiopica
Ammi majus
Hirschfeldia incana
Egeria densa
Phylloxera glabra
Quercus palustris
Callitriche palustris
Aucuba japonica
Hypericum hirsutum
Gomphus pulchellus
Lutraria lutraria
Straminella conizaeoides
Dryopteris borreri
Aphodius foetidus
Crataemespilus grandiflora
Issoria lathonia
Caltha palustris
Lecanora aitema
Petrosedum forsterianum
Centaurea macrocephala
Eupteryx cyclops
Cardamine occulta
Tinocallis zelkowae
Dendrocopus major
Locustella certhiola
Hedychridium coriaceum
Megaloceroea recticornis
Threskiornis spinicollis
Stellaria cupaniana
Rubus subinermoides
Pontania bridgmanii
Pithyotettix abietinus
Apethymus serotinus
Branta ruficollis
Cotoneaster fangianus
Bolothrips dentipes
Mahonia aquifolium
Andrena flavipes
Trichoniscus pusillus
Thymus vulgaris
Echinogammarus trichiatus
Tenthredopsis scutellaris
Cepphus grylle
Bromus ramosus
Spiranthes cernua
Potentilla argentea
Argynnis aglaja
Passaloecus borealis
Barbarea stricta
Oxalis valdiviensis
Galeopsis pubescens
Synophropsis lauri
Dreissena rostriformis
Sphagnum recurvum
Tolmiea menziesii
Sinomalus sieboldii
Pilosella stoloniflora
Centaurea phrygia
Sarcococca coriacea
Aronia melanocarpa
Orsillus depressus
Helminthotheca echioides
Halesus radiatus
Eurhadina concinna
Podiceps nigricollis
Picus viridis
Turdus merula
Derephysia foliacea
Crocidophora butleri
Issus muscaeformis
Oceanites oceanicus
Erythranthe guttata
Chartoscirta cincta
Anisobas cingulatellus
Pseudomalus auratus
Aix galericulata
Vicia dalmatica
Forcipata citrinella
Eleusine coracana
Campanula erinus
Gentianella amarella
Pontania pedunculi
Gonatopus bicolor
Drusus annulatus
Koenigia polystachya
Ectemnius lapidarius
Cygnus atratus
Salix atrocinerea
Utricularia australis
Gelis acarorum
Juncus inflexus
Atropa belladonna
Spiraea vanhouttei
Equisetum sylvaticum
Chamaenerion dodonaei
Blitum virgatum
Rubus asperidens
Helichrysum luteoalbum
Tenthredo zonula
Paspalum dilatatum
Sphex funerarius
Ocenebra erinaceus
Calamagrostis canescens
Perca fluviatilis
Ranunculus serpens
Myrmica lonae
Cakile maritima
Ichthyaetus melanocephalus
Cymbalaria muralis
Ostrea edulis
Rubus ferocior
Arnoseris minima
Tripleurospermum inodorum
Jacobaea maritima
Agraylea sexmaculata
Carex leporina
Sylvia undata
Embidopsocus enderleini
Epimedium alpinum
Nucula laevigata
Harpactus lunatus
Abies grandis
Centaurea napifolia
Reynoutria sachalinensis
Turrutus socialis
Cecropis daurica
Allium vineale
Silene pendula
Spartium junceum
Ligidium hypnorum
Fallopia convolvulus
Crossocerus assimilis
Neoclytus acuminatus
Trifolium ornithopodioides
Nettapus coromandelianus
Loricula bipunctata
Artemisia sieversiana
Rumex acetosa
Nuculoma haesendoncki
Ischnura pumilio
Sylvia curruca
Tringa flavipes
Megarhyssa vagatoria
Chaerophyllum temulum
Dysphania botrys
Blicca bjoerkna
Lavandula angustifolia
Cuculus canorus
Hyssopus officinalis
Medicago sativa
Rubus senticosus
Drepanosiphum acerinum
Branta leucopsis
Phytolacca acinosa
Viola arvensis
Anaphalis margaritacea
Tenthredo amoena
Forsythia viridissima
Andricus lignicolus
Veronica anagalloides
Hypericum calycinum
Vicia pannonica
Formica exsecta
Chrysis mediata
Hemichroa crocea
Rhyzobius lophanthae
Aelia klugii
Idiocerus lituratus
Coleosoma floridanum
Alburnoides bipunctatus
Polypodium mantoniae
Columba livia
Hottonia palustris
Acericerus ribauti
Cirsium oleraceum
Arabidopsis arenosa
Bucephala albeola
Liriope muscari
Hemidactylus turcicus
Pantherophis guttatus
Claytonia rubra
Ploceus jacksoni
Elaeagnus pungens
Equisetum arvense
Erysimum strictum
Dolichopus nubilus
Trioza velutina
Plagiognathus arbustorum
Amazona ochrocephala
Peripsocus milleri
Locustella naevia
Campanula persicifolia
Polytrichastrum formosum
Diphyus amatorius
Eriophorum angustifolium
Nigella arvensis
Artemisia campestris
Potamogeton trichoides
Betula pendula
Edwardsiana ishidae
Bolothrips icarus
Odontites vulgaris
Seseli libanotis
Trigoniophthalmus alternatus
Sedum sexangulare
Impatiens balfourii
Dictyla humuli
Sidalcea oregana
Campanula carpatica
Plectropterus gambensis
Diplolepis nervosa
Glaucomaria swartzii
Myzus ligustri
Potamophylax cingulatus
Euura venusta
Lipophrys pholis
Setaria faberi
Anopheles claviger
Festuca ovina
Scabiosa ochroleuca
Eriophorum latifolium
Tremulicerus fulgidus
Procambarus clarkii
Carex vulpinoidea
Oecetis ochracea
Errastunus ocellaris
Juncus squarrosus
Pedicularis palustris
Aglaostigma fulvipes
Aster alpinus
Trachystemon orientale
Hornungia procumbens
Muellerianella fairmairei
Catalpa bignonioides
Eryngium planum
Corispermum declinatum
Cryptolaemus montrouzieri
Sparus aurata
Arenaria interpres
Virgichneumon albilineatus
Sphingonotus caerulans
Cotoneaster franchetii
Geranium phaeum
Psilolechia clavulifera
Althaea hirsuta
Iberis umbellata
Tenthredopsis nassata
Dysaphis ranunculi
Metylophorus nebulosus
Ceraclea albimacula
Abies nordmanniana
Mesoneura opaca
Proterorhinus semilunaris
Hydropsyche instabilis
Rhithropanopeus harrisii
Strongylogaster xanthocera
Dicyphus constrictus
Mesopsocus laticeps
Sauromatum venosum
Scolopostethus pictus
Mesovelia furcata
Oxybasis salina
Mespilus germanica
Rubus ulmifolius
Nemesia caerulea
Alnus incana
Anthrenocerus australis
Crossocerus distinguendus
Cephalanthera rubra
Crepis bursifolia
Chlorophorus annularis
Calamoncosis aprica
Aira caryophyllea
Bembix rostrata
Hexaplex cichoreum
Elymana sulphurella
Bellardia viscosa
Megacoelum infusum
Hedychrum rutilans
Tradescantia virginiana
Coenonympha arcania
Nomada obscura
Polypogon viridis
Xorides alpestris
Crocus chrysanthus
Carabus arcensis
Stercorarius longicaudus
Dicentra formosa
Calliptamus italicus
Adonis aestivalis
Pyronia tithonus
Andrena chrysosceles
Urtica dioica
Dysphania schraderiana
Cyperus eragrostis
Diplosoma listerianum
Orlaya daucoides
Sigara falleni
Pantilius tunicatus
Ophrys insectifera
Melanthrips ficalbii
Tephroseris palustris
Periphyllus testudinaceus
Chroicocephalus genei
Goedartia alboguttata
Locustella lanceolata
Chrysopa abbreviata
Cernuella aginnica
Andrena pilipes
Coreopsis lanceolata
Ribautiana tenerrima
Symphytum caucasicum
Oriolus auratus
Chrysis gracillima
Potentilla verna
Lathyrus aphaca
Geotrupes spiniger
Rubus ammobius
Ichneumon crassifemur
Malus domestica
Juncus compressus
Anas acuta
Cyanopica cooki
Ancistrocerus parietum
Anas strepera
Frankenia pulverulenta
Dyspetes luteomarginatus
Gorytes quadrifasciatus
Centranthus calcitrapae
Aquila clanga
Lindenius albilabris
Bufo bufo
Trifolium pallidum
Salmo salar
Javesella pellucida
Pododesmus patelliformis
Somatochlora arctica
Acer cappadocicum
Erodium moschatum
Abramis brama
Dactylorhiza praetermissa
Trichopsocus dalii
Amaranthus albus
Lampropeltis californiae
Wroughtonia spinator
Dolichopus ungulatus
Xylocoris cursitans
Aleurochiton aceris
Triglochin maritima
Eriocapitella tomentosa
Isometopus intrusus
Berberis wilsoniae
Enchelyopus cimbrius
Plectrocnemia conspersa
Gelis rufogaster
Persicaria pensylvanica
Physella acuta
Heterarthrus wuestneii
Trichochermes walkeri
Alisma gramineum
Scomber scombrus
Aythya collaris
Ficedula parva
Shinnersia rivularis
Blaptica dubia
Dryocosmus kuriphilus
Adelges abietis
Chilacis typhae
Ovis ammon
Rhododendron luteum
Arborillus llimonae
Pilosella macrostolona
Strophingia ericae
Ceratomegilla notata
Campanula glomerata
Mibora minima
Tradescantia pallida
Balclutha punctata
Agrypnia varia
Hedychrum nobile
Stenodema holsata
Halictus scabiosae
Pomatoschistus pictus
Vicia sativa
Euphorbia lathyris
Sehirus luctuosus
Oreopteris limbosperma
Polysphincta rufipes
Alopecurus magellanicus
Apolygus rhamnicola
Rubus phaeocarpus
Brachysteles parvicornis
Theba pisana
Hesperocorixa linnaei
Agrostis fouilladeana
Nematus salicis
Sinapis alba
Scilla luciliae
Solanum sarachoides
Carex brizoides
Lonicera tatarica
Oenothera rubricauloides
Lasioglossum zonulum
Strongylogaster macula
Arge dimidiata
Vicia serratifolia
Lasioglossum villosulum
Echinochloa crus-galli
Eupholidoptera chabrieri
Potentilla erecta
Hipparchia semele
Dolichovespula norwegica
Senecio nemorensis
Priocnemis cordivalvata
Lasioglossum majus
Placopsis lambii
Podilymbus podiceps
Adelphocoris seticornis
Centranthus ruber
Prays citri
Rubus opacus
Laburnum anagyroides
Cervus elaphus
Lythrum junceum
Turdus atrogularis
Dendrothrips saltator
Lobelia siphilitica
Geranium nodosum
Rubus sprengelii
Uroleucon cichorii
Andrena gelriae
Sigara semistriata
Hebata decipiens
Galeopsis ladanum
Rosa tomentosa
Alomya debellator
Aneurus laevis
Edwardsiana ulmiphagus
Dicyphus annulatus
Centaurium pulchellum
Chamaecyparis lawsoniana
Phegopteris connectilis
Valerianella dentata
Drymus pumilio
Ischnocoris angustulus
Homalotylus eytelweinii
Cotoneaster rehderi
Andrena fulvago
Clinopodium calamintha
Fragaria moschata
Leucophaeus pipixcan
Juncus articulatus
Philaenus spumarius
Stenopsocus stigmaticus
Thalictrum delavayi
Anopheles plumbeus
Lecanora barkmaniana
Nabis flavomarginatus
Encyrtus infidus
Eilema sororcula
Prunus spinosa
Anthidium punctatum
Ulex minor
Eurygaster maura
Juncus tenageia
Ammodytes tobianus
Hypochrysa elegans
Hemerobius nitidulus
Emberiza pusilla
Macrosiphoniella tanacetaria
Symmorphus murarius
Phyllocolpa prussica
Juncus effusus
Carabus rutilans
Cotoneaster hylmoei
Callosciurus erythraeus
Myrmus miriformis
Dasypyrum villosum
Bacidia chloroticula
Philonthus rectangulus
Bidens triplinervia
Poa infirma
Acrocephalus schoenobaenus
Lindernia dubia
Tingis cardui
Euplectrus bicolor
Salicornia europaea
Bromus diandrus
Pararge aegeria
Rosa subcollina
Brassica napus × rapa
Trisetum flavescens
Conocephalus dorsalis
Cicada barbara
Eurybia divaricata
Erithacus rubecula
Allodynerus rossii
Sphagnum papillosum
Malva moschata
Macropsis vicina
Psittacus erithacus
Milvus milvus
Podops inunctus
Acer davidii
Macropsis infuscata
Pterostyrax hispidus
Xerochrysum bracteatum
Hypericum desetangsii
Crossocerus megacephalus
Veronica hederifolia
Ichneumon lautatorius
Lonicera maackii
Closterotomus norvegicus
Collyria coxator
Hyacinthoides non-scripta
Rumex maritimus
Helleborus foetidus
Chrysis illigeri
Hoplocryptus melanocephalus
Lasius flavus
Rubus corylifolius
Agrothereutes aterrimus
Origanum onites
Capitites ramulosa
Cardiastethus fasciiventris
Protonemura meyeri
Vulgichneumon bimaculatus
Procambarus virginalis
Triteleia laxa
Coturnix japonica
Crassula helmsii
Phaeostigma notatum
Haplophthalmus montivagus
Leptothorax acervorum
Sambucus canadensis
Sepsis punctum
Homotoma ficus
Staticobium limonii
Orthotrichia tragetti
Omocestus rufipes
Coturnix chinensis
Pyrrhosoma nymphula
Galeopsis tetrahit
Anthocoris confusus
Osmia parietina
Ceraleptus gracilicornis
Verbascum blattaria
Rubus armeniacus
Vezdaea aestivalis
Leptinotarsa decemlineata
Beckmannia syzigachne
Tanacetum macrophyllum
Podarcis siculus
Sorghum bicolor
Pristiphora geniculata
Physalis grisea
Thrincia saxatilis
Euphorbia prostrata
Corylus colurna
Phyla nodiflora
Centaurea aspera
Rupicapra rupicapra
Amaranthus quitensis
Somatochlora metallica
Himantoglossum hircinum
Halictoxenos tumulorum
Megachile analis
Bergenia crassifolia
Lolium arundinaceum
Fringilla coelebs
Homarus americanus
Selinum carvifolia
Galeatus maculatus
Lathyrus oleraceus
Galium elongatum
Cymatia rogenhoferi
Sceliphron caementarium
Bupleurum rotundifolium
Brama brama
Salix reichardtii
Cicada orni
Fenusa ulmi
Vulpes vulpes
Boloria selene
Groenlandia densa
Culicoides obsoletus
Crossocerus denticrus
Cirsium acaulon
Tenthredo procera
Alnus pubescens
Aeolothrips melaleucus
Acrocephalus dumetorum
Cladius pectinicornis
Tradescantia fluminensis
Anthoxanthum odoratum
Microvelia buenoi
Hydropsyche fulvipes
Blackstonia acuminata
Tachysphex obscuripennis
Atriplex pedunculata
Ancistrocerus auctus
Cixius cunicularius
Amaranthus blitum
Mola mola
Cerceris quinquefasciata
Cratichneumon culex
Bolboschoenus yagara
Alisma lanceolatum
Glaenocorisa propinqua
Rorippa palustris
Limnephilus flavicornis
Rhytidodus decimusquartus
Centaurea calcitrapa
Stachys byzantina
Psammotettix confinis
Hypericum humifusum
Anas platyrhynchos
Asplenium trichomanes
Pimpinella peregrina
Dioscorea communis
Pimpla flavicoxis
Hippolais polyglotta
Planuncus tingitanus
Fieberiella florii
Armeria humilis
Geum macrophyllum
Varicorbula gibba
Teucrium scordium
Pilophorus cinnamopterus
Prunus laurocerasus
Urtica pilulifera
Coriandrum sativum
Pilosella officinarum
Sirex noctilio
Miris striatus
Stenodema trispinosa
Tenthredo distinguenda
Empicoris rubromaculatus
Anser indicus
Trama rara
Symphytum asperum
Pycnanthemum verticillatum
Oenanthe oenanthe
Bifora radians
Numida meleagris
Arboridia velata
Hippophae rhamnoides
Myrmica gallienii
Misgurnus anguillicaudatus
Macropsis marginata
Pemphredon lugubris
Trichoniscoides albidus
Phedimus kamtschaticus
Anthidium oblongatum
Aylax papaveris
Gamochaeta antillanum
Agrostis stolonifera
Tettigonia viridissima
Smyrnium perfoliatum
Pseudoloxops coccineus
Axyris amaranthoides
Parectopa robiniella
Ciconia nigra
Umbilicus rupestris
Andrena helvola
Salvia sclarea
Onobrychis viciifolia
Prunella grandiflora
Koelreuteria paniculata
Hoplitis anthocopoides
Nomada flavopicta
Trioza flavipennis
Stercorarius pomarinus
Euura auritae
Cynosurus cristatus
Rubus erubescens
Linepithema humile
Eragrostis pectinacea
Ardea alba
Gastrodes abietum
Symphoricarpos albus var. laevigatus x microphyllus x orbiculatus
Paroaria coronata
Paratillus carus
Idiopterus nephrelepidis
Corrigiola litoralis
Ephemera glaucops
Neillia tanakae
Hemerobius humulinus
Narthecium ossifragum
Erysimum bicolor
Trachemys scripta
Capreolus capreolus
Temnostethus gracilis
Gorytes laticinctus
Acalitus phyllereus
Capsus wagneri
Nemopsis bachei
Corixa punctata
Anas penelope
Lecanora horiza
Mactra stultorum
Panicum dichotomiflorum
Ammophila pubescens
Psammotettix albomarginatus
Bromus secalinus
Podiceps grisegena
Eleocharis quinqueflora
Leptothorax parvulus
Nomada piccioliana
Sixalix atropurpurea
Neurotoma saltuum
Euphorbia vermiculata
Spinacia oleracea
Potentilla sterilis
Pentarthrum confine
Callopistria floridensis
Ichneumon bucculentus
Leucanthemella serotina
Rubus rudis
Andrena nigroaenea
Canna indica
Streptopelia roseogrisea
Asplenium adiantum-nigrum
Atriplex halimus
Pyrgolidium internodulum
Pamphilius marginatus
Himantoglossum robertianum
Corvus cornix
Aequipecten opercularis
Thalictrum aquilegifolium
Ranunculus tuberosus
Salix alba
Panurgus dentipes
Cacopsylla peregrina
Eutanyacra picta
Acer tataricum
Sciapteryx consobrina
Ceryle rudis
Coloeus monedula
Saururus cernuus
Modiolula phaseolina
Lepidium densiflorum
Origanum vulgare
Cotesia glomerata
Malvastrum coromandelianum
Usnea filipendula
Anthus richardi
Solanum tuberosum
Mephitis mephitis
Aptinothrips rufus
Syngnathus rostellatus
Clupea harengus
Malva neglecta × pusilla
Lachesilla bernardi
Nomada distinguenda
Salix purpurea
Tarenaya hassleriana
Carex vulpina
Drosera rotundifolia
Viburnum plicatum
Hydropsyche bulgaromanorum
Eriocheir sinensis
Rubus phoenicolasius
Carex limosa
Charagochilus gyllenhalii
Euphorbia seguieriana
Mustela vison
Cuneopalpus cyanops
Pycnonotus leucotis
Oceanodroma leucorhoa
Malva arborea
Phlaeothrips coriaceus
Populus canadensis
Chelon ramada
Sphecodes longulus
Oncopsis carpini
Sasa palmata
Coccus hesperidum
Bacidia inundata
Cerastium glutinosum
Tromatobia ovivora
Dianthus superbus
Ecballium elaterium
Thamnobryum alopecurum
Abutilon theophrasti
Mergus serrator
Glyphotaelius pellucidus
Colinus virginianus
Akebia quinata
Luscinia luscinia
Rubus baronicus
Verbena rigida
Silo nigricornis
Galanthus nivalis
Lycium chinense
Psylla buxi
Phlomis russeliana
Phylloscopus sibillatrix
Lasius brunneus
Dicyphus globulifer
Limonium vulgare
Ridolfia segetum
Dicyphus epilobii
Aedes dorsalis
Mutilla europaea
Lygus maritimus
Pinus rigida
Atriplex rosea
Geranium purpureum
Pamphilius sylvaticus
Symphytum orientale
Cavariella theobaldi
Dysaphis devecta
Orthotylus prasinus
Tsuga heterophylla
Hesperocodon hederaceus
Erigeron acris
Dolerus aericeps
Sigara stagnalis
Chloriona vasconica
Pepsis cyanea
Potentilla anglica
Bicolorana bicolor
Rosa rugosa
Barbatula barbatula
Exaireta spinigera
Tordylium maximum
Motacilla cinerea
Clangula hyemalis
Edwardsiana lethierryi
Chloephaga picta
Tryngites subruficollis
Nomada fulvicornis
Tenthredo thompsoni
Huso huso
Asarina procumbens
Gasteruption jaculator
Centroptilum luteolum
Urtica urens
Cotoneaster dielsianus
Pthirus pubis
Rhus typhina
Phyllocolpa leucapsis
Coronilla securidaca
Asciodema obsoleta
Pitar rudis
Lecanora expallens
Buteo rufinus
Climacium dendroides
Zygina nivea
Mercenaria mercenaria
Corydalis cava x solida
Parapholis strigosa
Cephalothrips monilicornis
Equisetum telmateia
Solidago virgaurea
Oxybelus trispinosus
Andrena nitida
Dolerus eversmanni
Allium hollandicum
Taxodium distichum
Arrhenatherum elatius
Eurysa lineata
Irania gutturalis
Kybos virgator
Salix repens
Buxus sempervirens
Erysimum virgatum
Juglans ailanthifolia
Lype phaeopa
Andrena ferox
Culicoides pulicaris
Sphecodes scabricollis
Glaucium corniculatum
Lissonota coracina
Javesella forcipata
Lithax obscurus
Rhynchospora fusca
Dolichopus popularis
Incarvillea delavayi
Helosciadium repens
Stethomostus fuliginosus
Ancistrocerus oviventris
Jacobaea aquatica
Erinus alpinus
Sphinctus serotinus
Monalocoris filicis
Gymnocarpium dryopteris
Vulpia myuros
Silene italica
Euplectes afer
Metidiocerus elegans
Calyptraea chinensis
Lathyrus latifolius
Trigonotylus caelestialium
Gaultheria shallon
Volinus sticticus
Calandrella brachydactyla
Oncosiphon piluliferum
Biatora globulosa
Formica fusca
Chorthippus dorsatus
Anser albifrons x Branta canadensis
Juglans cinerea
Lasius psammophilus
Alnus glutinosa
Siphoninus phillyreae
Lithotoma axillaris
Chaitophorus salicti
Nematus nigricornis
Adelges tardus
Rumex acetosella
Perilla frutescens
Campylium stellatum
Gavia immer
Nepytia phantasmaria
Vicia monantha
Coloradoa artemisiae
Eudocimus albus
Dolichopus brevipennis
Turdus iliacus
Euphydryas aurinia
Veronica montana
Emberiza melanocephala
Sium latifolium
Faxonius limosus
Digitalis purpurea
Craesus alniastri
Dacelo novaeguineae
Wolffia columbiana
Oenothera victorinii
Eryngium bourgatii
Hemerobius marginatus
Baldellia repens
Euceraphis betulae
Scabiosa lucida
Tetrix undulata
Cryptomyzus korschelti
Allium lusitanicum
Oreochromis niloticus
Cetema neglectum
Stercorarius parasiticus
Sporobolus michauxianus
Cerceris quadrifasciata
Zonotrichia capensis
Ichneumon gracilentus
Anchusa thessala
Pelophylax lessonae
Ephemera danica
Tachycixius pilosus
Orthomorpha coarctata
Acanthodelphax spinosa
Rhinanthus glacialis
Salix fragilis
Pontederia cordata
Ocyphaps lophotes
Limnephilus lunatus
Passaloecus singularis
Rosa blondaeana
Azolla filiculoides
Chloriona smaragdula
Erodium stephanianum
Dianthus deltoides
Mimesa bicolor
Palaemon elegans
Melilotus elegans
Luscinia svecica
Pediopsis tiliae
Verbascum ambiguum
Taraxacum officinale
Gladiolus hortulanus
Zostera marina
Phalaris brachystachys
Nippocryptus vittatorius
Onthophagus coenobita
Melanostoma mellinum
Cotoneaster ascendens
Ruspolia nitidula
Jassargus sursumflexus
Trivia arctica
Cassis bicatenatus
Oenothera royfraseri
Tiphia femorata
Gratiola officinalis
Ectemnius cavifrons
Eupteryx filicum
Chlamydotis macqueenii
Mycterothrips latus
Carex crawfordii
Urochloa panicoides
Chondrostoma nasus
Megachile genalis
Sphagnum fimbriatum
Salix elaeagnos
Hebata solani
Nandayus nenday
Cottus perifretum
Briza maxima
Caucalis platycarpos
Bucorvus leadbeateri
Diphasiastrum tristachyum
Arocatus longiceps
Papaver somniferum
Pterocomma salicis
Rhinanthus minor
Polycarpon tetraphyllum
Perithous albicinctus
Lasioglossum prasinum
Ara macao
Myzus lythri
Carex dioica
Anas erythrorhyncha
Psephellus dealbatus
Formica pratensis
Symphyotrichum novae-angliae
Stagnicola corvus
Metopius dentatus
Veronica sublobata
Abia aenea
Lepidium sativum
Gelis hortensis
Armadillidium nasatum
Asperula aristata
Macrophya montana
Sorbus aucuparia
Succinea putris
Psallus falleni
Raphitoma antonjanseni
Culicoides kibunensis
Salvia viridis
Artemisia vulgaris
Notobasis syriaca
Neochmia modesta
Sphagnum compactum
Hypochaeris radicata
Sphecodes reticulatus
Opopanax chironium
Idiocerus stigmaticalis
Cixius nervosus
Colletes marginatus
Frankliniella tenuicornis
Boreoscala greenlandica
Edwardsiana rosae
Castor canadensis
Ophioglossum azoricum
Cratichneumon sexarmillatus
Sphecodes rubicundus
Chenopodiastrum murale
Bromus sterilis
Torilis nodosa
Phoxinus phoxinus
Apterygida albipennis
Diphyus quadripunctorius
Dryopteris deweveri
Fritillaria meleagris
Deraeocoris flavilinea
Eryngium maritimum
Antithamnionella spirographidis
Najas marina
Solanum lycopersicum
Aulacidea hieracii
Ambrosia trifida
Colutea media
Althaea cannabina
Orthocephalus coriaceus
Gasteruption undulatum
Catananche caerulea
Gregopimpla inquisitor
Linum grandiflorum
Asclepias syriaca
Megalonotus antennatus
Gypsophila elegans
Bunias orientalis
Muhlenbergia mexicana
Diuraphis holci
Zea mays
Nematinus luteus
Prunus tomentosa
Lanius collurio
Culex torrentium
Stachys sylvatica
Vulgichneumon saturatorius
Laelius pedatus
Hedera colchica
Secale cereale
Hemitrichia pardina
Galanthus elwesii
Tuponia hippophaes
Penthimia nigra
Ludwigia grandiflora
Spinus magellanicus
Andrena barbilabris
Mocydiopsis parvicauda
Crepis biennis
Erythranthe cuprea
Sardina pilchardus
Myosotis dubia
Ichthyaetus audouinii
Rubus dejonghii
Raphanus raphanistrum
Cerastium fontanum
Aralia elata
Nicotiana rustica
Pseudomallada prasinus
Culiseta morsitans
Acer macrophyllum
Xanthochilus quadratus
Scabiosa columbaria
Halictus confusus
Gryllus bimaculatus
Diplazon pectoratorius
Vaccinium macrocarpum
Tamias sibiricus
Acantholyda flaviceps
Sebastes norvegicus
Ceratophyllus fringillae
Chasmias lugens
Echiichthys vipera
Schizopyga frigida
Lysimachia thyrsiflora
Aristolochia clematitis
Valenzuela atricornis
Lamprotornis splendidus
Carex pairae
Rhytidiadelphus squarrosus
Monodontomerus obscurus
Helleborus orientalis
Pleurodeles waltl
Echthrus reluctator
Geranium columbinum
Sphecodes marginatus
Phlox paniculata
Pieris mannii
Rumex obtusifolius
Genista pilosa
Camarotoscena speciosa
Scirpoides holoschoenus
Typhaeus typhoeus
Meleagris gallopavo
Centaurea adami
Plantago media
Trisopterus minutus
Acrocephalus arundinaceus
Trachusa byssina
Agnocoris reclairei
Hylaeus difformis
Setaria viridis
Gobiusculus flavescens
Aphrodes makarovi
Hesperis matronalis
Gymnocephalus cernua
Alnus cordata
Certhia familiaris
Bidens frondosa
Ichneumon stramentarius
Rosa squarrosa
Malva parviflora
Limnephilus auricula
Catapodium rigidum
Uroleucon sonchi
Veronica teucrium
Lanius schach
Melanitta nigra
Stachys palustris
Achillea ageratum
Primula florindae
Thaumatomyia notata
Javesella dubia
Adelius subfasciatus
Melitta haemorrhoidalis
Andrena bimaculata
Oenothera rubricaulis
Caulacanthus ustulatus
Berteroa incana
Alectoris graeca
Notonecta viridis
Cyanochen cyanoptera
Mesembryanthemum crystallinum
Ctenichneumon divisorius
Callosciurus prevostii
Orthonotus rufifrons
Euides basilinea
Harpocera thoracica
Aphrophora alni
Carlina vulgaris
Ribes rubrum
Calameuta filiformis
Accipiter nisus
Solanum nigrum
Reynoutria japonica
Rubus fuscus
Nitella gracilis
Lophophanes cristatus
Notonecta glauca
Aphantopus hyperantus
Cryptodiscus gloeocapsa
Puffinus puffinus
Uroleucon tanaceti
Vicia hirsuta
Fragilicetus velponi
Dryopteris complexa
Crithmum maritimum
Cydalima perspectalis
Eurybregma nigrolineata
Aedes albopictus
Allium pendulinum
Neottiglossa pusilla
Nezara viridula
Cicadula persimilis
Cucumis myriocarpus
Diadumene lineata
Cygnus columbianus
Andrena argentata
Epipactis phyllanthes
Gerris gibbifer
Phasianus colchicus
Gibbula solarium
Sigara iactans
Leptothorax affinis
Vicia tetrasperma
